Date,Amount,Type,Description,Category
2024-01-15,-25.50,purchase,Starbucks Coffee,Food & Dining
2024-01-16,1200.00,income,Salary Payment,Income
2024-01-17,-45.00,transfer,ATM Withdrawal,Transfer
2024-01-18,-89.99,purchase,Amazon - Electronics,Shopping
2024-01-19,-15.00,purchase,Uber Ride,Transportation
2024-01-20,-120.00,purchase,Grocery Store,Food & Dining
2024-01-21,-45.00,purchase,Movie Tickets,Entertainment
2024-01-22,-200.00,purchase,Utility Bill,Utilities
2024-01-23,-75.00,purchase,Pharmacy,Healthcare
2024-01-24,500.00,income,Freelance Project,Income 